version,date,num_downloads
0.7.0,2024-02-02 00:00:00+00:00,124
0.7.0,2024-02-03 00:00:00+00:00,31
0.7.0,2024-02-04 00:00:00+00:00,24
0.7.0,2024-02-05 00:00:00+00:00,21
0.7.0,2024-02-06 00:00:00+00:00,18
0.7.0,2024-02-07 00:00:00+00:00,11
0.7.0,2024-02-08 00:00:00+00:00,51
0.7.0,2024-02-09 00:00:00+00:00,94
0.7.0,2024-02-10 00:00:00+00:00,12
0.6.1,2024-01-12 00:00:00+00:00,20
0.6.1,2024-01-13 00:00:00+00:00,15
0.6.1,2024-01-14 00:00:00+00:00,9
0.6.1,2024-01-15 00:00:00+00:00,68
0.6.1,2024-01-16 00:00:00+00:00,35
0.6.1,2024-01-17 00:00:00+00:00,51
0.6.1,2024-01-18 00:00:00+00:00,54
0.6.1,2024-01-19 00:00:00+00:00,87
0.6.1,2024-01-20 00:00:00+00:00,10
0.6.1,2024-01-21 00:00:00+00:00,7
0.6.1,2024-01-22 00:00:00+00:00,11
0.6.1,2024-01-23 00:00:00+00:00,34
0.6.1,2024-01-24 00:00:00+00:00,34
0.6.1,2024-01-25 00:00:00+00:00,6
0.6.1,2024-01-26 00:00:00+00:00,132
0.6.1,2024-01-27 00:00:00+00:00,31
0.6.1,2024-01-28 00:00:00+00:00,15
0.6.1,2024-01-29 00:00:00+00:00,105
0.6.1,2024-01-30 00:00:00+00:00,27
0.6.1,2024-01-31 00:00:00+00:00,159
0.6.1,2024-02-01 00:00:00+00:00,68
0.6.1,2024-02-02 00:00:00+00:00,12
0.6.1,2024-02-03 00:00:00+00:00,2
0.6.1,2024-02-04 00:00:00+00:00,10
0.6.1,2024-02-05 00:00:00+00:00,45
0.6.1,2024-02-06 00:00:00+00:00,54
0.6.1,2024-02-07 00:00:00+00:00,14
0.6.1,2024-02-08 00:00:00+00:00,48
0.6.1,2024-02-09 00:00:00+00:00,36
0.6.1,2024-02-10 00:00:00+00:00,1
0.6.0,2024-01-12 00:00:00+00:00,7
0.6.0,2024-01-13 00:00:00+00:00,9
0.6.0,2024-01-15 00:00:00+00:00,1
0.6.0,2024-01-16 00:00:00+00:00,13
0.6.0,2024-01-17 00:00:00+00:00,3
0.6.0,2024-01-18 00:00:00+00:00,46
0.6.0,2024-01-19 00:00:00+00:00,50
0.6.0,2024-01-20 00:00:00+00:00,7
0.6.0,2024-01-21 00:00:00+00:00,5
0.6.0,2024-01-22 00:00:00+00:00,3
0.6.0,2024-01-23 00:00:00+00:00,10
0.6.0,2024-01-24 00:00:00+00:00,20
0.6.0,2024-01-25 00:00:00+00:00,7
0.6.0,2024-01-26 00:00:00+00:00,32
0.6.0,2024-01-27 00:00:00+00:00,22
0.6.0,2024-01-28 00:00:00+00:00,7
0.6.0,2024-01-29 00:00:00+00:00,42
0.6.0,2024-01-30 00:00:00+00:00,12
0.6.0,2024-01-31 00:00:00+00:00,82
0.6.0,2024-02-01 00:00:00+00:00,27
0.6.0,2024-02-02 00:00:00+00:00,6
0.6.0,2024-02-03 00:00:00+00:00,2
0.6.0,2024-02-04 00:00:00+00:00,10
0.6.0,2024-02-05 00:00:00+00:00,22
0.6.0,2024-02-06 00:00:00+00:00,11
0.6.0,2024-02-07 00:00:00+00:00,4
0.6.0,2024-02-08 00:00:00+00:00,15
0.6.0,2024-02-09 00:00:00+00:00,8
0.6.0,2024-02-10 00:00:00+00:00,10
0.5.0,2024-01-12 00:00:00+00:00,7
0.5.0,2024-01-13 00:00:00+00:00,9
0.5.0,2024-01-16 00:00:00+00:00,3
