version,date,num_downloads
0.9.0,2024-08-05 00:00:00+00:00,4
0.9.0,2024-08-06 00:00:00+00:00,10
0.9.0,2024-08-08 00:00:00+00:00,15
0.9.0,2024-08-09 00:00:00+00:00,25
0.9.0,2024-08-10 00:00:00+00:00,1
0.9.0,2024-08-13 00:00:00+00:00,6
0.9.0,2024-08-15 00:00:00+00:00,1
0.9.0,2024-08-16 00:00:00+00:00,5
0.9.0,2024-08-17 00:00:00+00:00,2
0.9.0,2024-08-19 00:00:00+00:00,4
0.9.0,2024-08-20 00:00:00+00:00,18
0.9.0,2024-08-21 00:00:00+00:00,36
0.9.0,2024-08-22 00:00:00+00:00,39
0.9.0,2024-08-23 00:00:00+00:00,55
0.9.0,2024-08-25 00:00:00+00:00,3
0.9.0,2024-08-26 00:00:00+00:00,40
0.9.0,2024-08-27 00:00:00+00:00,20
0.9.0,2024-08-28 00:00:00+00:00,8
0.9.0,2024-08-29 00:00:00+00:00,24
0.9.0,2024-08-30 00:00:00+00:00,44
0.9.0,2024-08-31 00:00:00+00:00,26
0.9.0,2024-09-01 00:00:00+00:00,20
0.9.0,2024-09-02 00:00:00+00:00,37
0.8.0.post0,2024-08-10 00:00:00+00:00,1
0.8.0.post0,2024-08-12 00:00:00+00:00,1
0.8.0.post0,2024-08-15 00:00:00+00:00,2
0.8.0.post0,2024-08-17 00:00:00+00:00,2
0.8.0.post0,2024-08-21 00:00:00+00:00,2
0.8.0.post0,2024-08-25 00:00:00+00:00,1
0.8.0.post0,2024-08-28 00:00:00+00:00,2
0.8.0.post0,2024-08-30 00:00:00+00:00,1
0.8.0,2024-08-10 00:00:00+00:00,1
0.8.0,2024-08-15 00:00:00+00:00,1
0.8.0,2024-08-17 00:00:00+00:00,2
0.8.0,2024-08-21 00:00:00+00:00,2
0.8.0,2024-08-25 00:00:00+00:00,1
0.8.0,2024-08-28 00:00:00+00:00,2
0.8.0,2024-08-30 00:00:00+00:00,1
0.7.1,2024-08-04 00:00:00+00:00,1
0.7.1,2024-08-10 00:00:00+00:00,1
0.7.1,2024-08-16 00:00:00+00:00,1
0.7.1,2024-08-17 00:00:00+00:00,2
0.7.1,2024-08-21 00:00:00+00:00,2
0.7.1,2024-08-25 00:00:00+00:00,1
0.7.1,2024-08-28 00:00:00+00:00,2
0.7.1,2024-08-30 00:00:00+00:00,1
0.7.0,2024-08-06 00:00:00+00:00,2
0.7.0,2024-08-09 00:00:00+00:00,5
0.7.0,2024-08-10 00:00:00+00:00,1
0.7.0,2024-08-12 00:00:00+00:00,1
0.7.0,2024-08-13 00:00:00+00:00,1
0.7.0,2024-08-15 00:00:00+00:00,1
0.7.0,2024-08-16 00:00:00+00:00,2
0.7.0,2024-08-17 00:00:00+00:00,2
0.7.0,2024-08-21 00:00:00+00:00,5
0.7.0,2024-08-25 00:00:00+00:00,1
0.7.0,2024-08-28 00:00:00+00:00,2
0.7.0,2024-08-30 00:00:00+00:00,1
0.6.1,2024-08-16 00:00:00+00:00,2
0.6.1,2024-08-17 00:00:00+00:00,2
0.6.1,2024-08-21 00:00:00+00:00,2
0.6.1,2024-08-25 00:00:00+00:00,1
0.6.1,2024-08-28 00:00:00+00:00,2
0.6.1,2024-08-30 00:00:00+00:00,1
0.6.0,2024-08-17 00:00:00+00:00,2
0.6.0,2024-08-21 00:00:00+00:00,2
0.6.0,2024-08-25 00:00:00+00:00,1
