version,date,num_downloads
0.3.0,2024-07-13 00:00:00+00:00,2
0.3.0,2024-07-16 00:00:00+00:00,1
0.3.0,2024-07-18 00:00:00+00:00,1
0.3.0,2024-07-20 00:00:00+00:00,1
0.3.0,2024-07-21 00:00:00+00:00,4
0.3.0,2024-07-22 00:00:00+00:00,2
0.3.0,2024-07-23 00:00:00+00:00,1
0.3.0,2024-07-24 00:00:00+00:00,2
0.3.0,2024-07-27 00:00:00+00:00,2
0.3.0,2024-07-30 00:00:00+00:00,2
0.3.0,2024-08-03 00:00:00+00:00,2
0.3.0,2024-08-05 00:00:00+00:00,1
0.3.0,2024-08-08 00:00:00+00:00,4
0.2.0,2024-07-10 00:00:00+00:00,1
0.2.0,2024-07-13 00:00:00+00:00,2
0.2.0,2024-07-20 00:00:00+00:00,1
0.2.0,2024-07-21 00:00:00+00:00,1
0.2.0,2024-07-30 00:00:00+00:00,1
0.1.0rc1,2024-07-13 00:00:00+00:00,2
0.1.0rc1,2024-07-20 00:00:00+00:00,1
0.1.0rc1,2024-07-21 00:00:00+00:00,1
0.1.0rc1,2024-07-30 00:00:00+00:00,1
0.1.0,2024-07-13 00:00:00+00:00,2
0.1.0,2024-07-20 00:00:00+00:00,1
0.1.0,2024-07-21 00:00:00+00:00,1
0.1.0,2024-07-30 00:00:00+00:00,1
