version,date,num_downloads
0.9.0,2024-09-25 00:00:00+00:00,38
0.9.0,2024-09-26 00:00:00+00:00,8
0.9.0,2024-09-27 00:00:00+00:00,5
0.9.0,2024-09-28 00:00:00+00:00,8
0.9.0,2024-09-29 00:00:00+00:00,22
0.9.0,2024-09-30 00:00:00+00:00,29
0.9.0,2024-10-01 00:00:00+00:00,40
0.9.0,2024-10-02 00:00:00+00:00,54
0.9.0,2024-10-03 00:00:00+00:00,46
0.9.0,2024-10-04 00:00:00+00:00,60
0.9.0,2024-10-05 00:00:00+00:00,44
0.9.0,2024-10-06 00:00:00+00:00,5
0.9.0,2024-10-07 00:00:00+00:00,27
0.9.0,2024-10-08 00:00:00+00:00,36
0.9.0,2024-10-09 00:00:00+00:00,25
0.9.0,2024-10-10 00:00:00+00:00,6
0.9.0,2024-10-11 00:00:00+00:00,22
0.9.0,2024-10-12 00:00:00+00:00,11
0.9.0,2024-10-13 00:00:00+00:00,20
0.9.0,2024-10-14 00:00:00+00:00,30
0.9.0,2024-10-15 00:00:00+00:00,27
0.9.0,2024-10-16 00:00:00+00:00,34
0.9.0,2024-10-17 00:00:00+00:00,39
0.9.0,2024-10-18 00:00:00+00:00,14
0.9.0,2024-10-19 00:00:00+00:00,31
0.9.0,2024-10-20 00:00:00+00:00,11
0.9.0,2024-10-21 00:00:00+00:00,48
0.9.0,2024-10-22 00:00:00+00:00,43
0.9.0,2024-10-23 00:00:00+00:00,30
0.9.0,2024-10-24 00:00:00+00:00,64
0.8.0.post0,2024-09-25 00:00:00+00:00,2
0.8.0.post0,2024-09-27 00:00:00+00:00,2
0.8.0.post0,2024-09-28 00:00:00+00:00,4
0.8.0.post0,2024-09-29 00:00:00+00:00,4
0.8.0.post0,2024-09-30 00:00:00+00:00,2
0.8.0.post0,2024-10-01 00:00:00+00:00,5
0.8.0.post0,2024-10-02 00:00:00+00:00,1
0.8.0.post0,2024-10-03 00:00:00+00:00,4
0.8.0.post0,2024-10-04 00:00:00+00:00,2
0.8.0.post0,2024-10-05 00:00:00+00:00,4
0.8.0.post0,2024-10-07 00:00:00+00:00,4
0.8.0.post0,2024-10-08 00:00:00+00:00,11
0.8.0.post0,2024-10-09 00:00:00+00:00,7
0.8.0.post0,2024-10-10 00:00:00+00:00,2
0.8.0.post0,2024-10-11 00:00:00+00:00,4
0.8.0.post0,2024-10-13 00:00:00+00:00,4
0.8.0.post0,2024-10-14 00:00:00+00:00,7
0.8.0.post0,2024-10-15 00:00:00+00:00,2
0.8.0.post0,2024-10-18 00:00:00+00:00,2
0.8.0.post0,2024-10-19 00:00:00+00:00,5
0.8.0.post0,2024-10-20 00:00:00+00:00,4
0.8.0.post0,2024-10-21 00:00:00+00:00,5
0.8.0.post0,2024-10-22 00:00:00+00:00,2
0.8.0.post0,2024-10-23 00:00:00+00:00,7
0.8.0,2024-09-25 00:00:00+00:00,2
0.8.0,2024-09-27 00:00:00+00:00,2
0.8.0,2024-09-28 00:00:00+00:00,4
0.8.0,2024-09-29 00:00:00+00:00,5
0.8.0,2024-09-30 00:00:00+00:00,3
0.8.0,2024-10-01 00:00:00+00:00,2
0.8.0,2024-10-02 00:00:00+00:00,1
0.8.0,2024-10-03 00:00:00+00:00,2
0.8.0,2024-10-04 00:00:00+00:00,2
0.8.0,2024-10-05 00:00:00+00:00,4
0.8.0,2024-10-07 00:00:00+00:00,5
0.8.0,2024-10-08 00:00:00+00:00,8
0.8.0,2024-10-09 00:00:00+00:00,6
0.8.0,2024-10-10 00:00:00+00:00,2
0.8.0,2024-10-11 00:00:00+00:00,4
0.8.0,2024-10-13 00:00:00+00:00,4
0.8.0,2024-10-14 00:00:00+00:00,8
0.8.0,2024-10-15 00:00:00+00:00,1
0.8.0,2024-10-18 00:00:00+00:00,2
0.8.0,2024-10-19 00:00:00+00:00,5
0.8.0,2024-10-20 00:00:00+00:00,4
0.8.0,2024-10-21 00:00:00+00:00,7
0.8.0,2024-10-22 00:00:00+00:00,2
0.8.0,2024-10-23 00:00:00+00:00,5
0.7.1,2024-09-25 00:00:00+00:00,1
0.7.1,2024-09-27 00:00:00+00:00,1
0.7.1,2024-09-28 00:00:00+00:00,5
0.7.1,2024-09-29 00:00:00+00:00,6
0.7.1,2024-09-30 00:00:00+00:00,2
0.7.1,2024-10-01 00:00:00+00:00,2
